Country Name,Year,Fertility Rate
Singapore,1960,5.76
Singapore,1961,5.41
Singapore,1962,5.21
Singapore,1963,5.16
Singapore,1964,4.97
Singapore,1965,4.66
Singapore,1966,4.46
Singapore,1967,3.91
Singapore,1968,3.53
Singapore,1969,3.22
Singapore,1970,3.07
Singapore,1971,3.02
Singapore,1972,3.04
Singapore,1973,2.79
Singapore,1974,2.35
Singapore,1975,2.07
Singapore,1976,2.11
Singapore,1977,1.82
Singapore,1978,1.79
Singapore,1979,1.79
Singapore,1980,1.82
Singapore,1981,1.78
Singapore,1982,1.74
Singapore,1983,1.61
Singapore,1984,1.62
Singapore,1985,1.61
Singapore,1986,1.43
Singapore,1987,1.62
Singapore,1988,1.96
Singapore,1989,1.75
Singapore,1990,1.83
Singapore,1991,1.73
Singapore,1992,1.72
Singapore,1993,1.74
Singapore,1994,1.71
Singapore,1995,1.67
Singapore,1996,1.66
Singapore,1997,1.61
Singapore,1998,1.48
Singapore,1999,1.47
Singapore,2000,1.6
Singapore,2001,1.41
Singapore,2002,1.37
Singapore,2003,1.27
Singapore,2004,1.26
Singapore,2005,1.26
Singapore,2006,1.28
Singapore,2007,1.29
Singapore,2008,1.28
Singapore,2009,1.22
Singapore,2010,1.15
Singapore,2011,1.2
Singapore,2012,1.29
Singapore,2013,1.19
Singapore,2014,1.25
Singapore,2015,1.24
Singapore,2016,1.2
Singapore,2017,1.16
Singapore,2018,1.14
Singapore,2019,1.14
Singapore,2020,1.1
